Distance_km,Bed_Elevation_m,Latitude,Longitude
1.371256821974083939e+00,-6.855428530814954229e+02,7.289010055406110666e+01,-5.474173968546914892e+01
1.406417257990006053e+00,-6.835517097596832627e+02,7.289010301466889530e+01,-5.474280994025658487e+01
1.441577694232735851e+00,-6.815828006161067378e+02,7.289010546939158530e+01,-5.474388019535592065e+01
1.476738130701468421e+00,-6.796306544860842678e+02,7.289010791822913404e+01,-5.474495045076640309e+01
1.511898567396191995e+00,-6.776854531234564547e+02,7.289011036118158415e+01,-5.474602070648730034e+01
1.547059004315923136e+00,-6.756949252264780625e+02,7.289011279824892142e+01,-5.474709096251785212e+01
1.582219441460332110e+00,-6.737133622329298532e+02,7.289011522943111743e+01,-5.474816121885731945e+01
1.617379878828471673e+00,-6.717697173874332748e+02,7.289011765472820059e+01,-5.474923147550494207e+01
1.652540316420506139e+00,-6.698639906899845755e+02,7.289012007414015670e+01,-5.475030173245999521e+01
1.687700754235439637e+00,-6.680663322261941630e+02,7.289012248766697155e+01,-5.475137198972171859e+01
1.722861192272298947e+00,-6.664421301838281124e+02,7.289012489530865935e+01,-5.475244224728935194e+01
1.758021630531492852e+00,-6.648655199663365920e+02,7.289012729706522009e+01,-5.475351250516217760e+01
1.793182069011791668e+00,-6.633365015737374506e+02,7.289012969293663957e+01,-5.475458276333942820e+01
1.828342507712921838e+00,-6.618550750060144310e+02,7.289013208292291779e+01,-5.475565302182036476e+01
1.863502946634123303e+00,-6.610097271614288275e+02,7.289013446702405474e+01,-5.475672328060423411e+01
1.898663385775333667e+00,-6.602267475390056006e+02,7.289013684524003622e+01,-5.475779353969030439e+01
1.933823825135355001e+00,-6.594953149094166065e+02,7.289013921757089065e+01,-5.475886379907780821e+01
1.968984264714340737e+00,-6.588154292726638914e+02,7.289014158401657539e+01,-5.475993405876602083e+01
2.004144704511088282e+00,-6.587327598714574606e+02,7.289014394457711887e+01,-5.476100431875417485e+01
2.039305144525762170e+00,-6.590451031330092064e+02,7.289014629925249267e+01,-5.476207457904154552e+01
2.074465584756931769e+00,-6.594050428144682883e+02,7.289014864804272520e+01,-5.476314483962735835e+01
2.109626025204749844e+00,-6.598125789158360703e+02,7.289015099094778805e+01,-5.476421510051088859e+01
2.144786465868248726e+00,-6.604832198065258808e+02,7.289015332796769542e+01,-5.476528536169137595e+01
2.179946906747124213e+00,-6.618725681953148978e+02,7.289015565910241889e+01,-5.476635562316808148e+01
2.215107347841104968e+00,-6.632981667380081490e+02,7.289015798435198690e+01,-5.476742588494026620e+01
